scrapping_date,review_author,review_title,one_reviews_text,review_date,review_rating,review_helpful,review_feedback
2022-05-27 22:15:45.793713,PGM77,Owzat for a game!,"I was sceptical, until I played it.
I haven’t played cricket for about 30 years so it was great to be able to relive some sports fun.
I saw someone had made a bat.
So I did using a broken bat.
Amazing how the developers have allowed you to adjust he controls to accept my bat.
Am relearning my batting technique.
Brill 👍",Apr 11 at 3:19 AM,5, 31,
2022-05-27 22:15:47.828584,zakaiter,"Just Amazing, feels like real","If I have to phrase the game in one line ""IB Cricket is the reason I bought Oculus Quest 2"". I have never played any PS or Xbox. 

I would love to share the story behind my plan to buy VR, I love playing badminton, Cricket, TT. Now for cricket my craze is on different level and I was missing cricket alot during COVID time.

I wanted to play cricket but at the same time i don't like pressing buttons to hit sixes. I was researching on how can I play cricket then I saw some ads by IPL players for IB Cricket. 

The video was enough to tell me about what VR is and what game is about. Next day I just ordered it from IB site for both oculus and game. Since then I have been enjoying and loving to play this game.

My favourite one is PVP mode, where you actually gets more difficulty when a human brain bowls to you and you have to score runs against them.

I must admit the developers have done a great job and the IB team thanks alot for bringing this up, this has kept the game in me alive. Even I referred to my friends in US they also bought and started playing it, so for them it was getting their childhood memories back.

I love the way developer responds to the issues reported. Let's accept there is no application in the world without bugs, but to fix those bugs when needed makes them great application and I love that enthusiasm from IB team to keep improving their features and fixing their issues.
So far it's been my best toy.
Thanks again IB team for bringing this up. :)",Apr 23 at 6:04 AM,5, 13,
2022-05-27 22:15:49.902359,BITSO,VR Cricket at its best,"I miss the old days playing backyard cricket with my dad. We lived and breathed cricket. Now he’s gone, and times have changed, backyard cricket seems to be a thing of the past…. Great memories. However, this game has reminded me of some of my most memorable experiences. Love it!!!! When we would play, we would write a scorecard with our favorite players. I would love to see this option in the game, I would love to include my dads and my name in the batting line up with Chappell, Boon, Border, Waugh, Laird etc. otherwise this is a great game for cricket lovers…. Well done!!",May 1 at 7:15 PM,5, 5,
2022-05-27 22:15:51.987327,Beaglestream,Fantastic for anyone into cricket.,"This Game is great fun. You seem to know exactly where you have hit the ball with your bat. It genuinely feels like you are in bat. I am looking forward to the ib bat being released in amazon and i will be purchasing. 

I dont know if its me or what but the bowler running in seems blurry and i feel i really strain to focus. Thats probably just my eyeballs. 

Online random 5 or 10 over quick matching would be a great addition, where the bowler has a quick selection of balls he wants to bowl to the opponent and even play as the wicket keeper while these balls are being bowled, where you can comminicate to the opponent in bat, just like in real life ( we have all had that wicket keeper that chirps in your ear )
 You can  currently play online and set balls to bowl but has to be against friends which i have none that own this game. 

Overall this game is great for any cricket fan and it will significantly improve for me once i have the ib bat. P.s i want a 5% cut for the online quickplay and wicket keeper communication idea. 🤣",Apr 25 at 6:07 AM,5, 6,
2022-05-27 22:15:54.032933,oneyellowpeacock,Best Cricket Game in VR,"I absolutely love this game and I'm addicted to it. I have almost played everyday after buying this. I used to play a lot of cricket when I was a kid. After growing up I stopped. This game takes me back to those days and I feel like a kid again(not that I'm old haha)

Local multiplayer is nice .I play with my elder brother and it's quite fun.

While the gameplay is pretty good the features are a bit janky. There's lot of different points but I'm not sure what they do except for gems which should unlock stadiums and bats but are almost impossible to collect. There are no names for players(you can edit and give them names) but it would have been better if teams had different names. very unorganised teams as well. The commentary is pathetic haha 

BUT all these cons are overshadowed by the fun you will have while playing.Hopefully with updates they improve all these things. Also if you buy this join the discord group.They keep giving updates and you can suggest or request features as well :)",Apr 26 at 11:38 PM,5, 4,
2022-05-27 22:15:58.231545,gregan78,Great game aand very active developers,"Looks lovely and plays great. Lots of options and difficulties to suit everyone. The graphics seem to be getting better with new venues, settings and avatars. Physics are generally very good although still need a bit of tweaking as does the sound of the bat when you middle it. A. Must buy for cricket fans.",13 days ago,5, 0,
2022-05-27 22:16:00.279962,CanyonVR,Great Introduction to Cricket!,"Never played Cricket before...  Never even watched an entire match.  Being American I just knew it was something like baseball...but different.
When this popped up on the main Oculus store it got me curious.  
Well worth the price!  Absolutely LOVE it!
There seem to be so many options in this game for people that know what Cricket is...but it also does not overwhelm a brand new player and someone not familiar with Cricket.  Lots of statistics for those that like that!
I like that the developers  are still actively updating and adding to the game.  Just today they are supposed to add a patch that incorporates Bowling (pitching for Americans) into the game.
I hope in the future they will add more team management related features and more co-op.
I would tell someone that loves Cricket that this game is incentive enough to get an Oculus(Meta) Quest 2 !!!",15 days ago,5, 0,
2022-05-27 22:16:02.324037,Ppalande,Best game on VR,"Must have game for any cricket lover. The physics are fairly up to the mark. And campaign mode is a fun way to waste ton of hours batting. Would love more updates like we have in fifa with creation of profile and addition of World cups, IPL and other tournaments.
Rest the game is really awesome. We can definitely improve bat tracking and a more better graphics, but seriously the best game on VR for anyone who has played cricket.",17 days ago,5, 0,
2022-05-27 22:16:04.360759,Safshikan,Awesome experience but needs improvement,"I played different cricket VR games, and I definitely loved iB cricket as it has so many modes, stadium, bowlers etc .. but the only thing im still trying to figerout is the physics of the game, I personally loved the physics of cover drive cricket which is very raw, but iB cricket has strange physics if ball is hitting anywhere else except the best area of the bat (not considering edges). I request developers to fix it. Except this only thing. Game is awesome",22 days ago,5, 1,
2022-05-27 22:16:06.447363,alexmartin91184,,"I have never played cricket before my wife don’t even know what the players will card, but this is a very enjoyable Game that I can get into very quickly. Although I cannot make it through the tournament without getting beat On very easy 🙄 it’s still fun. In the new update allows you to be the bowler which I think will be nice.",14 days ago,4, 0,
