scrapping_date,review_author,review_title,one_reviews_text,review_date,review_rating,review_helpful,review_feedback
2022-05-27 21:17:13.133921,AndysVrReviews,Little Cities is a cute and simple game,"Little Cities is a cute and simple city builder. You begin the game with an empty island and a balance of $20,000. As soon as you hop into the first island you are taken through a tutorial. You move around the maps by using the back trigger to drag yourself to your destination and you could also adjust your height using the thumbstick to have a god's eye view or be up close and personal. Viewing progress and city statistics could be done using your smart watch and menu items are chosen using a bubble style menu that is incredibly intuitive and satisfying to use. Options for standing and seated play are included as are settings for choosing your dominant hand. As you progress more and more content will unlock including 5 additional islands each fitting into one of three themes (either volcanic, tropical or desert). I do also know that tons of updates are coming soon such as a hand tracking update in June and an update in July that will add more assets to the game. If you are the type of person who likes city builders this is definitely a great one that could be fun for the whole family. 

For video review including gameplay visit Andy's VR Reviews on Youtube
youtube.com/c/AndysVrReviews",15 days ago,5, 184,
2022-05-27 21:17:15.175937,Game0verGame,Don’t mistake it as similar to Cites Vr,"Don’t compare this to Cites VR. Though they are both focused around building cites, they are not alike. Unlike Cites VR, Little Cites is not the type of game where you are waiting hours for stuff to build. Instead, buildings are completed fast, as in game time goes extremely fast. (About a week every 30 seconds) Little Cities is more of a sandbox game. It still has a money system, but it is very chill, and I have never run out of money. Overall, this is a great game, especially for the price, and I can not recommend it more.",A day ago,5, 54,
2022-05-27 21:17:17.219386,GameOnScorpio,This game will put a smile on your face,"Let me keep this short and simple...

If you're wanting a city building game that isn't too complicated, you want to have a good and relaxed time, then Little Cities is the game for you!

For more details and to see the game in action, check out my video here --> https://youtu.be/IXjfvNnptr0

GameOn!",14 days ago,5, 47,
2022-05-27 21:17:19.295035,WelshGamerVR,The best city Sim on quest,"You want Sim City in vr. You don't care what taxes people pay. Then this game is for you. Just sit down and relax while you create your own city. How long can you last befoee your city blows up in flames. 

Gameplay video

Little Cities is Sim City VR with extra seagulls - Quest 2 Gameplay
https://youtu.be/1ABKnA_ehLk",15 days ago,5, 44,
2022-05-27 21:17:21.342889,DrOculusVR,Fun on many levels,"I've never been a fan of city building games. Some are so complex that I would play for a while and then just look for the ""earthquake"" button. Little cities is different, I play this game to enjoy and relax, no anxiety, no stress that the order of my traffic lights are wrong, just simple pleasure. If you want a complex city planning game then get sim City, if you want fun charming and pleasant city planning game you can't go wrong with little cities for £15. Just what the doctor ordered",15 days ago,5, 34,
2022-05-27 21:17:25.524050,KarmaMole,Delightful City Builder!,"Coming hot on the heels of the bloated and janky goliath that is Cities VR, Little Cities is a refreshing and delightful title that feels right at home in VR, with wonderfully streamlined and friendly controls, great graphics and smooth as silk gameplay. For a full review and video comparing the two city builders, search YouTube for 6DOF Reviews!",15 days ago,5, 37,
2022-05-27 21:17:27.564539,lecitron,Small studio beats big franchise,"This is a simple, beautiful and all rounded game. Perfect for quest, so relaxing and very gratefully to play. A must have one.

And the most important, game is in my native language, spanish.

Muchas gracias por traducir el juego! Mucha gente de España no compran juegos porque no sabe ingles, habiendolo hecho habeis conseguido muchos mas clientes.",15 days ago,5, 22,
2022-05-27 21:17:29.605962,NarutoBeast,Amazing but a couple of suggestions,"I love the game, I love the different maps but I also want to watch people walking around. A little more action with the police I don't know who your target audience is but I'm 23 and I love games like these where I can build my own town but I also wanna watch it grow and see little construction workers build the buildings and people going to the airport. I wanna see more rides and more water slides and people having fun. I do like the police chases with the helicopters lol I always follow that around. Maybe we can upgrade some houses to mansions, I'm not sure if it has this more but more extreme weather and a way to prevent buildings from getting hit by the volcanos eruption lol.",13 days ago,5, 15,
2022-05-27 21:17:31.644815,DScruffles,We loved Little Cities on Ruff Talk VR,"Hey everyone, Dscruffles of the Ruff Talk VR podcast here. As huge city builder fans, we’ve been super excited for the release of Little Cities and it did not disappoint! With simple but addictive gameplay, cute graphics, and fun music, Little Cities is great for any fan of city builders and for those new to the genre. Check out our podcast review for our full thoughts and final 1-100 rating! www.RuffTalkVR.com",15 days ago,5, 16,
2022-05-27 21:17:33.677238,Robtherobbert ,Happy little cities!,"Sometimes you just wish to sit your bunbuns down on your favorite couch to play a chill VR game without jumping and aiming around! Well this is it! Running smooth for Quest 1 where I still play on. Fantastic build game! Everything from UI, music and graphical presentation fits the device(s) great! Put your earphones on and jump into your little worlds. Its super happy and relaxing.,however top down in VR gives a bit of a sour neck.
Would love to campare with citiesVR,( tweaking planning difficult and lots of headage), but thats no option for this old Quester. So here my Special thanks to the developers for that! 
Curious for the updates, multiplayer and maybe a bit more challenge option. 
Try it and you will love it!!!",13 days ago,5, 15,
2022-05-27 21:17:37.845933,grapevinefree,Better than Cities VR (I've played both),"Was super hyped for Cities VR (played it on pc before), although the actual release was very rough. Out of disappointment I came across this game and figured I'd give it a try. And by gosh this might be the best game I've played on Quest 2 yet. Controls are intuitive, it's super immersive, gameplay is addicting and easy to understand. I highly highly recommend",11 days ago,5, 13,
2022-05-27 21:17:39.895867,Nerdburglar,A really fun and addictive city builder,"This game is so quaint and cozy while still retaining some super fun gameplay mechanics. It’s so fun to pop the bubbles and select the little roads or houses and such. To be honest, I think this is leaps and bounds more polished than Cities VR and overall a much better game. Definitely recommend this one!!",14 days ago,5, 13,
