scrapping_date,review_author,review_title,one_reviews_text,review_date,review_rating,review_helpful,review_feedback
2022-05-28 17:17:24.805327,joseph.williams.7777,Failed to confirm my purchase,"I bought 3 movies from veer vr and they all started acting up in November and keeps saying failed to confirm your purchase. I know for a fact that I put in my secret pin number to make the purchase. My best educated guess is veer vr isn't compatible with windows 11. I hired a pc repairman to look at the problem and try to resolve it, and I think that might have cost me an extra $100 dollars.",Feb 2 at 4:57 AM,1, 2,
2022-05-28 17:17:24.819289,jojo611,FAILED TO CONFIRM MY PURCHASE,i buy a movie victoria villa   but they say can not confirm my purchase what can i do please,Feb 3 at 7:25 AM,1, 5,
2022-05-28 17:17:24.833252,QuantumWolf777,Worth every penny.,Worth every penny.  The experiences are outstanding.,Apr 9 at 8:57 PM,5, 0,
2022-05-28 17:17:24.848212,price_kelley,Good but not that good!,"It works well, its UI is pretty inviting, its easy to use but the content is drab and awful, appears to be targetting the Asian user with anime stuff and the odd sexualised asian taboo comicon fetish material, besides that it does have a searchable content field with quite a lot of varied content, I cant 4 star this because a hella lot of content is unvetted wen it comes to description or title vs accuarcy -an example is when searching for 2k - 4k res content YOU WILL find lots but when you play it its 1080p OR LESS! this is way bad for the VR user! just having content in its mass doesnt mean you have contant thats usable, Veers player isnt the best either, lack of settings and options or they could be hidden in the UI somewhere? Free content does not encourage the purchase of PREMIUM content so I refuse to pay for anything here from lack of confidence.",Aug 3 at 1:18 AM,3, 6,
2022-05-28 17:17:24.863172,FlannelLegend,Tracking is way off,"I want to like this app becasue I feel like it offers a lot for free, but I simply cannot play it. I'vew only had it 20 mninutes and can no longer handle it. 

The issue starts right after the app opens. At first everything and  is oriented correctly, but as soon as I move my controller, the orientation of the view shifts to my right a good 2 feet. I can see my controller at least two feet to the rightr of where it actually is. This makes it so I'm looking at the menu from an angle. On top of that the view pans when you move your head to create the immersion effect. When your view is shifted and not where it should be this is incredibly nausea inducing. 

I have started and restarted thius several times. I even uninstalled and reinstalled and this still happens. Devs can you please respond to this and tell me if there's a fix for this?",Sep 17 at 11:24 PM,1, 0,
2022-05-28 17:17:27.994796,Snozzer,Video and sound lag,I wanted something to replace Jaunt which seems to have stopped working for everyone given reviews. I thought this would do it so I looked at the reviews and made sure I downloaded the latest version. I have a very high end PC and superfast download speeds and can virtually play anything on the Oculus apart from this. Very bad audio and video lag. As per some of the reviewers that had the same issues tried the down load and ran again off line but still the same. Shame I had high hopes given some of the content.,"Jul 15, 2020 at 11:06 PM",2, 6,
2022-05-28 17:17:28.009756,ScooterCooter,Holy Shyte this is bad!,"Some of the animal content is good, but most of this oversized scenery and characters. In my opimion, there is way too much of this low quality content that is riding the coattails of good VR. This crap is like projectile diarrhea. Jeeze! I think I can still smell it!  I unistalled this abominatiom.","May 31, 2020 at 1:31 AM",1, 6,
2022-05-28 17:17:28.024716,velocioustech,Nice app!,"Really enjoy most of the VR video on VeeR! Also, I found out there are a lot of stuff on the Premium section. Waiting for premium content sales.","Jan 30, 2020 at 11:25 AM",5, 5,
2022-05-28 17:17:28.040673,hiruneusagi,some trouble,"I was enjoying a lot, it was very nice.
but since about a month ago, sound has been lost. 
i can't fix it with oculus setting.

Thank you for your reply. 
But still I can't hear sounds.
It's not your fault, it's a Oculus' fault, cause the sound is vanished in other apps such as Disney movies, Smithonian Journeys, DeoVR Video player, and even in Oculus Video!!
I'm a Rift user.
I guess Oculus expel old machine users for making them buy new models, but I hesitate to do so. Even if I get the newest model, the machine might be out of work in two years.","Feb 24, 2020 at 1:41 PM",2, 0,"Hi there,
Thank you for reaching out. We recommend you to update your app version to the latest 2.5.0. Your sound bug should be fixed by then. If you have any other questions, you can write to us at support@veer.tv. Our support team will help you out immediately."
2022-05-28 17:17:28.055633,yanghantao,Cool!,Like it. It is great for those who don't play games. Bunch of free content and also inexpensive premium section.,"Feb 3, 2020 at 8:41 AM",5, 2,
