scrapping_date,review_author,review_title,one_reviews_text,review_date,review_rating,review_helpful,review_feedback
2022-05-28 15:07:45.803293,pbau5,"Great story, terrible landing controls","This is a great game! Seeing the Saturn V in VR gives a wonderful sense of scale.

My only gripe is that the controls during the landing sequence are abysmal. It seems like maybe there are several different control styles, and they swap without warning. Either way, I'm a veteran KSP player, with thousands of hours logged, and I was entirely unable to complete the landing. It ruined the immersion completely.",3 days ago,3, 0,
2022-05-28 15:07:45.818254,BlueQuantum,Feel the shining moment in history,"If there is any VR APP that makes people feel that they forget the moment and relive that glorious history, then this is it. The post-80s did not have the opportunity to experience the challenging space journey, but through this APP, sitting in the Eagle Lunar Module and watching the moon approaching closer and closer, made people’s heart beat faster.",Sep 3 at 10:39 PM,5, 2,
2022-05-28 15:07:45.832217,Teekak,Does not work on Oculus Quest 2 (FIXED),"I cannot get it to work on my quest 2, as the game immediately crashes on startup. EDIT: I have got the game to open by disabling the ""Citrix Virtual Bus Enumerator"" under System Devices in Task Manager.",Jul 28 at 7:03 PM,1, 19,
2022-05-28 15:07:45.848173,jroc777,Stunning experience,"An educational and emotional experience that is an absolute must for any science or space enthusiast.  No, it's not a mission simultor, nor does to claim to be, but what it does give you is a first person view of one of mankind's greatest achievements, with an opportunity to sit in the cockpit of the Apollo Command Module during liftoff, dock with and pilot the LEM, and of course walk on the surface of the moon while learning about the experiments that were deployed.  The music is stiring and with the additions of historical imagery, mission audio, interviews with the astronauts, and recordings of famous speaches by President Kennedy, it's an immersive experience that rivals any I've tried in VR.","Apr 3, 2021 at 6:19 PM",5, 5,
2022-05-28 15:07:45.863134,The_Pirate_Captain,Epic,Amazingly beautiful and emotional experience.,Aug 24 at 5:48 PM,5, 0,
2022-05-28 15:07:49.009717,jbecknell,Wonderful look into history,This puts yoi right in thr ship and shiww you whst it was like to land on the moon from the astronaut's perspective.  Fantastic presentation.,"Jun 24, 2020 at 10:06 AM",5, 12,
2022-05-28 15:07:49.024678,Marc576,Moon boots ?,they don't have moon boots the astronauts !,"Jul 20, 2020 at 9:30 PM",3, 7,
2022-05-28 15:07:49.041632,christian.schatz.54,Very nice... but...,... the A-Button is not working with the Rift-S-Controllers... game breaking bug :-/,"Jun 12, 2020 at 1:33 AM",2, 16,
2022-05-28 15:07:49.055595,cuervodude,AMAZING!,everything about this experience is just awesome! The creators really did a fantastic job everything looks so real! I really enjoyed it all!,"Apr 29, 2020 at 3:43 PM",5, 8,
2022-05-28 15:07:49.070555,Skyhawk613,Great cinematic/ Interactive experience!,"I waited for a sale on this app but wow! To me it's worth the full asking price! 

Apollo 11 hs a cinematic mode and an interactive mode, so there is "" replay value"" lengthening the experience on this app, in addition to its historic and educational value.

I would recommend this experience..
Buy it!","Dec 31, 2019 at 7:50 AM",5, 11,
